year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,,,status,transferred,overseas,sold_price_in_cr,sold_price
2021,Rajasthan Royals,71.35 cr,13.65 cr,1175458,Akash Singh,Akash Singh,,BOW,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,1206495,Kuldip Yadav,Kuldip Yadav,,BOW,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,308967,Jos Buttler,Jos Buttler,,BAT/WK,440,602000,,602000000,Retained,FALSE,TRUE,4.4,44000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,311158,Ben Stokes,Ben Stokes,,AR,1250,1712000,,1712000000,Retained,FALSE,TRUE,12.5,125000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,321777,David Miller,David Miller,,BAT,75,102000,,102000000,Retained,FALSE,TRUE,0.75,7500000
2021,Rajasthan Royals,71.35 cr,13.65 cr,330902,Mustafizur Rahman,Mustafizur Rahman,,BOW,100,136000,,136000000,New,FALSE,TRUE,1,10000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,344580,Shreyas Gopal,Shreyas Gopal,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,390484,Jaydev Unadkat,Jaydev Unadkat,,BOW,300,410000,,410000000,Retained,FALSE,FALSE,3,30000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,403902,Liam Livingstone,Liam Livingstone,,AR,75,102000,,102000000,New,FALSE,TRUE,0.75,7500000
2021,Rajasthan Royals,71.35 cr,13.65 cr,423838,Rahul Tewatia,Rahul Tewatia,,BAT,300,410000,,410000000,Retained,FALSE,FALSE,3,30000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,425943,Sanju Samson,Sanju Samson,,BAT/WK,800,1095000,,1095000000,Retained,FALSE,FALSE,8,80000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,439952,Chris Morris,Chris Morris,,AR,1625,2226000,,2226000000,New,FALSE,TRUE,16.25,162500000
2021,Rajasthan Royals,71.35 cr,13.65 cr,459508,Andrew Tye,Andrew Tye,,BOW,100,136000,,136000000,Retained,FALSE,TRUE,1,10000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,532856,Manan Vohra,Manan Vohra,,BAT,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,669855,Jofra Archer,Jofra Archer,,AR,720,986000,,986000000,Retained,FALSE,TRUE,7.2,72000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,714451,Shivam Dube,Shivam Dube,,AR,440,602000,,602000000,New,FALSE,FALSE,4.4,44000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,777537,KC Cariappa,KC Cariappa,,BOW,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Rajasthan Royals,71.35 cr,13.65 cr,853265,Mahipal Lomror,Mahipal Lomror,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Mumbai Indians,81.35 cr,3.65 cr,1064812,Rahul Chahar,Rahul Chahar,,BOW,190,260000,,260000000,Retained,FALSE,FALSE,1.9,19000000
2021,Mumbai Indians,81.35 cr,3.65 cr,1079839,Anukul Roy,Anukul Roy,,AR,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Mumbai Indians,81.35 cr,3.65 cr,1132005,Mohsin Khan,Mohsin Khan,,BOW,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
2021,Mumbai Indians,81.35 cr,3.65 cr,1148776,Arjun Tendulkar,Arjun Tendulkar,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Mumbai Indians,81.35 cr,3.65 cr,1206052,Yudhvir Singh Charak,Yudhvir Singh Charak,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Mumbai Indians,81.35 cr,3.65 cr,230559,Kieron Pollard,Kieron Pollard,,AR,540,739000,,739000000,Retained,FALSE,TRUE,5.4,54000000
2021,Mumbai Indians,81.35 cr,3.65 cr,261354,Nathan Coulter-Nile,Nathan Coulter-Nile,,BOW,500,684000,,684000000,New,FALSE,TRUE,5,50000000
2021,Mumbai Indians,81.35 cr,3.65 cr,277912,Trent Boult,Trent Boult,,BOW,320,438000,,438000000,Retained,FALSE,TRUE,3.2,32000000
2021,Mumbai Indians,81.35 cr,3.65 cr,277955,Dhawal Kulkarni,Dhawal Kulkarni,,BOW,75,102000,,102000000,Retained,FALSE,FALSE,0.75,7500000
2021,Mumbai Indians,81.35 cr,3.65 cr,326637,Chris Lynn,Chris Lynn,,BAT,200,273000,,273000000,Retained,FALSE,TRUE,2,20000000
2021,Mumbai Indians,81.35 cr,3.65 cr,32966,Piyush Chawla,Piyush Chawla,,BOW,240,328000,,328000000,New,FALSE,FALSE,2.4,24000000
2021,Mumbai Indians,81.35 cr,3.65 cr,333904,Aditya Tare,Aditya Tare,,BAT/WK,20,27000,,27000000,Retained,FALSE,FALSE,0.2,2000000
