year,player_name,player_id,base_price_in_cr,base_price,base_price_in_usd,status,id_source
2016,Mahela Jayawardene,49289,1.5,15000000,,unsold,name match
2016,Michael Hussey,5939,2,20000000,,unsold,name match
2016,Usman Khawaja,215155,1,10000000,,unsold,name match
2016,Shane Dowrich,431905,0.3,3000000,,unsold,not found - add manually
2016,Mushfiqur Rahim,56029,0.3,3000000,,unsold,not found - add manually
2016,Johnson Charles,333066,0.3,3000000,,unsold,not found - add manually
2016,Brad Haddin,5560,1.5,15000000,,unsold,name match
2016,Morne van Wyk,47711,0.3,3000000,,unsold,not found - add manually
2016,Ben Dunk,388678,0.3,3000000,,unsold,initial match
2016,Cameron Bancroft,501011,0.1,1000000,,unsold,not found - add manually
2016,Manoj Tiwary,35565,1,10000000,,unsold,name match
2016,Ravi Bopara,10582,1,10000000,,unsold,name match
2016,Tillakaratne Dilshan,48472,1.5,15000000,,unsold,name match
2016,Darren Sammy,53115,0.5,5000000,,unsold,name match
2016,Sachithra Senanayake,273439,0.5,5000000,,unsold,name match
2016,Veerasammy Permaul,274921,0.3,3000000,,unsold,not found - add manually
2016,Nathan Lyon,272279,1,10000000,,unsold,not found - add manually
2016,Devendra Bishoo,341593,0.3,3000000,,unsold,not found - add manually
2016,Michael Beer,307495,0.3,3000000,,unsold,not found - add manually
2016,Ajantha Mendis,268739,0.5,5000000,,unsold,name match
2016,Sulieman Benn,51248,0.3,3000000,,unsold,not found - add manually
2016,Rahul Sharma,272994,0.3,3000000,,unsold,name match
2016,Cameron Boyce,326625,0.5,5000000,,unsold,not found - add manually
2016,Pragyan Ojha,32130,0.5,5000000,,unsold,name match
2016,Joe Burns,326632,1,10000000,,unsold,not found - add manually
2016,David Hussey,5766,1,10000000,,unsold,name match
2016,Darren Bravo,277472,0.5,5000000,,unsold,name match
2016,Adam Voges,8119,1,10000000,,unsold,name match
2016,Nic Maddinson,333780,0.5,5000000,,unsold,initial match
2016,Owais Shah,20123,1,10000000,,unsold,name match
