year,player_name,player_id,base_price_in_cr,base_price_in_usd,status,source_text
2020,M Siddarth,1151286,0.2,,sold,M Siddarth (Base price INR 20 lakh) sold to Kolkata Knight Riders for INR 20 lakh
2020,Ravi Bishnoi,1175441,0.2,,sold,Ravi Bishnoi (Base price INR 20 lakh) sold to Kings XI Punjab for INR 2 crore
2020,Shimron Hetmyer,670025,0.5,,sold,Shimron Hetmyer (Base price INR 50 lakh) sold to Delhi Capitals for INR 7.75 crore
2020,David Miller,321777,0.75,,sold,David Miller (Base price INR 75 lakh) sold to Rajasthan Royals for INR 75 lakh
2020,Saurabh Tiwary,35390,0.5,,sold,Saurabh Tiwary (Base price INR 50 lakh) sold to Mumbai Indians for INR 50 lakh
2020,Mitchell Marsh,272450,2,,sold,Mitchell Marsh (Base price INR 2 crore) sold to Sunrisers Hyderabad for INR 2 crore
2020,James Neesham,355269,0.5,,sold,James Neesham (Base price INR 50 lakh) sold to Kings XI Punjab for INR 50
2020,Josh Hazlewood,288284,2,,sold,Josh Hazlewood (Base price INR 2 crore) sold to Chennai Super Kings for INR 2 crore
2020,B Sandeep,427484,0.2,,sold,B Sandeep (Base price INR 20 lakh) sold to Sunrisers Hyderabad for INR 20 lakh
2020,Chris Green,787073,0.2,,sold,Chris Green (Base price INR 20 lakh) sold to Kolkata Knight Riders for INR 20 lakh
2020,Josh Philippe,1124282,0.2,,sold,Josh Philippe (Base price INR 20 lakh) sold to Royal Challengers Bangalore for INR 20 lakh
